ques,skill
8516,28
10832,37
1746,108
6050,28
8284,16
9333,27
10699,30
7076,15
15193,100
3568,22
8203,90
1499,4
12844,81
3517,67
5281,74
14243,103
10999,56
2937,73
15076,43
4423,53
12782,37
2249,79
1263,84
2620,74
3616,51
5847,28
10081,90
4124,118
8853,93
13987,106
1437,119
2011,30
14359,97
2463,84
15392,100
7018,28
2235,29
10157,118
4896,118
2296,29
7322,116
9577,116
5125,11
14594,82
11025,93
14999,49
4137,118
1067,119
11126,71
1973,71
2633,51
6477,74
12880,50
5276,24
7583,28
14898,55
7145,32
12064,53
15491,22
7398,21
4867,53
8865,114
14546,93
9364,28
9350,27
6091,18
131,49
424,69
1807,113
9596,5
501,89
3424,96
15628,116
2746,84
5646,112
1052,22
3231,79
2149,51
1934,108
3131,107
15239,42
12899,93
3571,96
4377,67
5996,28
11513,22
3999,74
8014,29
9481,58
10285,97
6163,18
8670,97
7079,32
3771,59
10855,67
11664,112
3757,4
586,51
3372,38
14317,6
1735,17
3348,79
2518,74
11343,79
8155,118
8722,97
476,62
4828,74
11076,18
6239,37
7272,32
2555,51
4083,27
7453,21
9082,67
9325,5
14729,16
2417,54
4875,59
11494,120
7486,71
14725,100
11119,13
5425,105
15194,119
4932,79
11588,4
5303,72
11716,81
14607,64
8399,97
6061,28
12077,72
125,99
9756,103
12408,75
3522,27
4163,27
15284,100
4736,97
10397,28
10220,20
13718,23
7206,32
12835,95
13533,108
3380,28
7043,28
1258,84
101,91
798,51
9414,118
9769,5
13812,37
13908,72
15417,119
5761,2
15321,10
664,51
370,44
10125,120
171,37
4404,53
1096,22
9080,28
11259,85
11928,38
13499,21
6107,49
8729,97
9427,118
3289,79
1418,119
14430,121
2796,73
7659,74
4575,93
6103,37
10138,116
10443,49
9166,121
5159,77
15624,21
6368,103
5456,28
9892,59
10861,27
11225,71
13076,32
11454,112
1048,119
13437,67
12392,27
241,59
1125,119
1471,95
3180,118
6236,38
6967,56
11279,111
1532,95
7635,18
10167,16
14813,49
14895,55
15653,103
9298,27
11373,17
13038,97
4616,49
14238,36
11400,27
15596,119
13250,49
15268,42
13018,21
2476,84
2865,51
12686,37
2429,84
9691,121
7017,73
1764,112
4655,97
5745,85
7351,116
8015,29
3658,59
10465,5
4549,118
155,2
6663,86
5755,28
2998,96
7199,32
17,37
8372,58
12733,71
8871,32
11162,20
1345,119
4041,2
6453,118
6804,88
9022,84
7839,80
10744,59
12268,32
4631,73
1227,119
1669,84
15504,22
11105,70
4179,118
12463,19
14536,70
2793,51
5640,37
634,89
12163,37
5399,68
13887,74
15058,55
4448,85
10696,13
9548,27
13211,85
13364,21
8998,60
4562,37
13178,32
14940,55
1806,6
5659,112
14071,110
9913,59
818,51
4538,74
10811,5
15614,83
73,120
5094,79
